{'time_stamp': 1592104065.394333, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'ff7cfe7cd0808000'}
{'time_stamp': 1592104065.393768, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'b77cfa7c0f7d000a'}
{'time_stamp': 1592104065.394908, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'fd7cfb7c428c8000'}
{'time_stamp': 1592104065.40322, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '81ed7c7afe7ccc0a'}
{'time_stamp': 1592104065.395472, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '057d077d0a7d000a'}
{'time_stamp': 1592104065.404334, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'ff7cfe7cd0808000'}
{'time_stamp': 1592104065.403768, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'b77cfa7c097d000a'}
{'time_stamp': 1592104065.404913, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'fd7cfb7c418c8000'}
{'time_stamp': 1592104065.413219, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '8bed7c7afe7ccc09'}
{'time_stamp': 1592104065.405477, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '047d107d097d000a'}
{'time_stamp': 1592104065.414345, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'ff7cfe7cd0808000'}
{'time_stamp': 1592104065.413774, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'b77cfa7c117d0009'}
{'time_stamp': 1592104065.414931, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'fe7cfb7c418c8000'}
{'time_stamp': 1592104065.428042, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'c9ed7c56fe7ccc09'}
{'time_stamp': 1592104065.415482, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '067d0c7d0e7d0009'}
{'time_stamp': 1592104065.429161, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'ff7cfe7cd0808000'}
{'time_stamp': 1592104065.428597, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'b87cf97c1d7d0009'}
{'time_stamp': 1592104065.429753, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'fe7cfb7c408c8000'}
{'time_stamp': 1592104065.433183, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'd0ed7c4bfe7ccc09'}
{'time_stamp': 1592104065.430296, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '097d037d117d0009'}
{'time_stamp': 1592104065.434311, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'ff7cfe7cd0808000'}
{'time_stamp': 1592104065.433747, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'b87cf97c167d0009'}
{'time_stamp': 1592104065.434891, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'ff7cfb7c408c8000'}
{'time_stamp': 1592104065.443153, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'd2ed7c49fe7ccc09'}
{'time_stamp': 1592104065.435461, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '077d067d107d0009'}
{'time_stamp': 1592104065.44428, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'ff7cfe7cd0808000'}
{'time_stamp': 1592104065.443719, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'b87cf97cfb7c0009'}
{'time_stamp': 1592104065.444899, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'ff7cfb7c408c8000'}
{'time_stamp': 1592104065.453148, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'c4ed7c51fe7ccc09'}
{'time_stamp': 1592104065.445428, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '007d107d0a7d0009'}
{'time_stamp': 1592104065.454277, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '007dfe7ccf808000'}
