{'time_stamp': 1595834831.193984, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.854199, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '067d077dff7c4002'}
{'time_stamp': 1595834813.853643, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2c79bf02'}
{'time_stamp': 1595834833.447319, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '19e88b419f01fa00'}
{'time_stamp': 1595834833.446192, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '47e8a340df54f27e'}
{'time_stamp': 1595834831.203923, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.864037, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037d097d027d4002'}
{'time_stamp': 1595834813.863489, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2c79bf02'}
{'time_stamp': 1595834833.457463, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '14e85b415f00fa00'}
{'time_stamp': 1595834833.456329, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '47e8c3401f58f27e'}
{'time_stamp': 1595834831.213985, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.874086, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037d097d047d4002'}
{'time_stamp': 1595834813.873565, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2c79bf02'}
