{'time_stamp': 1590044683.953737, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ac357d08f97c0004'}
{'time_stamp': 1590044683.954822, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '027d017d047d0004'}
{'time_stamp': 1590044683.954253, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '077d017d2b79bf04'}
{'time_stamp': 1590044691.66603, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '0ee8fb405f0bfa00'}
{'time_stamp': 1590044691.66487, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '3ae84b401f51f27e'}
{'time_stamp': 1590044683.963571, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'a9357d0df97c0004'}
{'time_stamp': 1590044683.964695, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '027dff7c027d0004'}
{'time_stamp': 1590044683.964126, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '077d017d2b79bf04'}
{'time_stamp': 1590044691.675931, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '0ee8ab3f1f08fa00'}
{'time_stamp': 1590044691.674792, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '39e84b405f52f27e'}
{'time_stamp': 1590044683.973571, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ad357d10f97c0004'}
