{'time_stamp': 1595816493.643238, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '087d047dff7c4002'}
{'time_stamp': 1595816493.642675, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2b79bf02'}
{'time_stamp': 1595816513.096171, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '06e8bb409ffbf980'}
{'time_stamp': 1595816513.095028, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '1fe87b409f57f27e'}
{'time_stamp': 1595816510.88284, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.653308, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '067d027dfd7c4002'}
{'time_stamp': 1595816493.652751, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2c79bf02'}
{'time_stamp': 1595816513.106164, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'f5e7bb409ffbf980'}
{'time_stamp': 1595816513.105022, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '20e87b405f57f27e'}
{'time_stamp': 1595816510.892856, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.663232, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '087d007dfd7c4002'}
{'time_stamp': 1595816493.662686, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2c79bf02'}
{'time_stamp': 1595816513.116187, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '0ce823411ffaf980'}
{'time_stamp': 1595816513.115043, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '20e893405f57f27e'}
{'time_stamp': 1595816510.902847, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.673176, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '067d017dfd7c4002'}
{'time_stamp': 1595816493.672663, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2c79bf02'}
{'time_stamp': 1595816513.126184, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '18e85b401ffaf900'}
{'time_stamp': 1595816513.125035, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '21e8a3401f57f27e'}
{'time_stamp': 1595816510.912843, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.683189, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '067d017dfe7c4002'}
{'time_stamp': 1595816493.682639, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2c79bf02'}
